COD_SNIES;NOMBRE_DEL_PROGRAMA;TITULO_OTORGADO;ESTADO_PROGRAMA
104438;TECNOLOGIA EN PRODUCCIÓN DE AUDIO;TECNOLOGO EN PRODUCCIÓN AUDIO;Activo
105819;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;TECNOLOGO EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Activo
13935;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13946;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13937;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13944;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13940;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13942;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13933;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
2775;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO EN REGENCIA DE FARMACIA;Activo
13945;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
13930;TECNOLOGIA EN REGENCIA DE FARMACIA;TECNOLOGO (A) EN REGENCIA DE FARMACIA;Inactivo
90869;TECNOLOGÍA EN SANEAMIENTO AMBIENTAL;TECNÓLOGO EN SANEAMIENTO AMBIENTAL;Activo
104956;TECNOLOGÍA EN SEGURIDAD Y SALUD EN EL TRABAJO;TECNOLOGO EN SEGURIDAD Y SALUD EN EL TRABAJO;Activo
102128;TECNOLOGIA EN SISTEMAS  AGROFORESTALES;TECNOLOGO EN SISTEMAS  AGROFORESTALES;Inactivo
102422;TECNOLOGIA EN SISTEMAS DE COMUNICACIONES INALÁMBRICAS;TECNOLOGO  EN SISTEMAS DE COMUNICACIONES INALÁMBRICAS;Inactivo
52242;TECNOLOGIA EN TELECOMUNICACIONES;TECNOLOGO  EN TELECOMUNICACIONES;Inactivo
51722;TECNOLOGIA INDUSTRIAL;TECNOLOGO INDUSTRIAL;Inactivo
1687;ZOOTECNIA;ZOOTECNISTA;Activo
